SortID,,,,,,,,,,,,,,,,,,,
TestSite,,,,,,,,,,,,,,,,,,,
Specification,,20230816_Áp¨È_Flip-Chip_CW,,,,,,,,,,,,,,,,,
Operator,,0,,,,,,,,,,,,,,,,,
EquipmentNo,,1,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,
TestNo,PosX,PosY,BIN,Ith,SEf,Kink,Rollover,Rs,V1,V2,V3,P1,P2,P3,Ir,Imax,WP,HW,PCE
1,92,42,0,1.826527763,-0.000228,3433.546143,846123.875,-0.035117,9.999991,10.000001,9.999975,-0.000606,-0.000248,-0.000258,0.156,9.2,0,0,-0.00062
2,83,42,0,1.359129661,0.000946,0.213215,76.210632,951.429626,4.227096,5.220551,4.833695,0.002087,0.002047,0.001385,69.008003,3.5,0,0,0.009805
3,82,42,0,1.318251862,2.163518,0.098215,61.026936,416.264191,6.47215,7.251073,6.669861,3.569212,3.639541,0.004044,0.192,3.4,944.469971,2.76,12.548285
4,81,42,0,1.463208415,0.000101,6278.484375,2452.532959,0.005681,9.999988,9.999994,9.999985,-0.000459,-0.000204,-0.000302,0.467,3.5,0,0,-0.00051
5,80,42,0,1.294028959,0.004938,0.050656,29.54229,344.681854,5.129152,5.883121,4.605023,0.013825,0.019696,0.001895,0.261,3.9,0,0,0.083697
6,40,43,0,0.672566209,1.078269,0.951552,99.9646,437.626312,7.45061,6.988963,9.999994,2.479851,0.002455,0.00217,0.173,1.8,441.390015,553.25,0.00878
7,42,43,0,0.570509998,0.000392,3237.343506,102.686119,-0.013944,10.000009,9.999983,9.999973,-0.000076,-0.000091,-0.000537,0.201,0,0,0,-0.000228
8,43,43,0,0.971772421,0.000422,0.438162,21.961515,772.686523,4.3372,5.217284,5.284067,0.001881,0.002636,0.000414,64.185997,2.8,0,0,0.012631
9,44,43,0,0.447335217,1.700284,0.954748,99.86084,123.032196,7.070587,7.511662,5.166135,3.22212,0.017243,0.001307,0.221,2.5,945.02002,1.44,0.057389
10,45,43,0,1.961694548,-0.000032,3433.546143,386.78714,0.006714,9.999983,9.999999,9.999999,-0.000292,-0.000567,-0.000116,0.198,9.9,0,0,-0.001417
11,48,43,0,1.046010046,0.001392,0.197187,66.533821,723.891174,4.27207,5.090492,4.956982,0.002464,0.002533,0.000792,203.848007,2.8,0,0,0.01244
12,51,43,0,1.460692247,-0.000092,4218.356445,193750.0938,0.021174,10.00002,10.000005,10.000007,-0.00043,-0.000655,-0.000062,0.189,9.9,0,0,-0.001638
13,53,43,0,0.538494001,0.000029,4267.407227,243.594376,-0.008779,9.999991,9.999982,10.000005,-0.000145,-0.00042,-0.000415,0.341,0.7,0,0,-0.001049
14,55,43,0,1.278259164,0.001117,0.158022,25.54599,519.696838,4.146327,5.19088,5.071249,0.00348,0.003848,0.001841,458.971985,4.5,0,0,0.018531
15,56,43,0,1.018486259,2.439962,0.059739,24.87974,384.771271,5.972744,6.753856,5.034911,4.173983,7.5235,0.004422,0.221,4.2,942.789978,2.09,27.848906
16,61,43,0,0.379425135,0.000103,4414.559082,205.304764,-0.019624,10.000031,10.000027,9.999987,-0.000302,-0.000493,-0.000611,0.336,5.9,0,0,-0.001233
17,66,43,0,1.420956731,0.000962,0.449633,73.792328,234.718933,4.453563,4.697912,4.789594,0.00139,0.000993,0.000895,101.625999,3.7,0,0,0.005284
18,67,43,0,1.15313656,0.000117,7455.700195,1105.491333,0.055258,10.000006,9.999979,9.999996,-0.000273,-0.000327,-0.000214,0.198,3.6,0,0,-0.000816
19,69,43,0,0.889033848,0.003568,0.053423,39.917828,391.39447,5.186878,5.998717,4.774346,0.009979,0.01251,0.001268,0.242,3.9,0,0,0.052136
20,71,43,0,1.122885637,-0.000204,5297.471191,902532.125,-0.005164,9.999988,10.000007,9.999999,-0.00043,-0.000704,-0.000626,0.179,5.1,0,0,-0.001761
21,72,43,0,0.841066771,-0.000365,5297.471191,1290032.25,-0.022723,9.999965,10.000012,10.000006,-0.000469,-0.00065,-0.000273,0.297,8.2,0,0,-0.001626
22,73,43,0,1.166070654,0.001516,0.223919,42.550415,468.356995,4.000366,5.132873,5.010821,0.003377,0.004387,0.002072,229.382004,4.3,0,0,0.021368
23,74,43,0,0.273518952,0.000571,1.870798,72.01844,332.729584,4.502356,4.570064,4.829246,0.000527,0.000772,0.000718,0.191,9.3,0,0,0.004224
24,75,43,0,1.34159191,-0.000087,6719.939941,215822.8906,0.04338,10,10.000019,10.000001,-0.000484,-0.000587,-0.000258,0.235,2.7,0,0,-0.001466
25,76,43,0,0.811867422,0.00519,0.044098,30.10047,316.939758,5.034717,5.688934,5.076108,0.013996,0.018965,0.002474,0.263,3.9,0,0,0.083342
26,77,43,0,0.636600981,2.541025,0.064101,18.185177,343.295227,5.804847,6.503206,6.120949,4.256579,8.177743,4.964973,0.177,4.9,942.690002,1.64,31.437349
27,78,43,0,0.930951847,2.469676,0.063048,19.156176,361.678589,5.851066,6.589247,5.476067,4.087428,7.807714,0.007536,0.231,4.9,942.840027,1.95,29.62294
28,79,43,0,0.389992823,2.371719,0.051858,33.090145,399.702789,6.024065,6.828045,6.275651,4.00826,6.932366,0.009807,0.223,4.3,943.210022,1.95,25.381958
29,80,43,0,1.251809558,-0.000031,5150.319336,80933.58594,0.003099,10.00001,9.999978,10.000004,-0.000513,-0.000552,-0.000243,0.21,4.9,0,0,-0.001381
30,81,43,0,0.958442785,0.00465,0.064301,22.440514,377.214874,4.560722,5.335213,5.084461,0.012574,0.018116,0.006506,0.275,5,0,0,0.084891
31,82,43,0,0.730048421,2.368117,0.056549,43.23172,438.045135,6.171469,7.040117,6.288945,3.951504,6.34627,0.00761,0.194,3.8,943.72998,2.23,22.536093
32,83,43,0,0.616705155,-0.000098,6229.433594,120174.1094,87.195572,0.556563,0.73231,1.040419,-0.000312,-0.000621,-0.000351,1000,0,0,0,-0.021196
33,86,43,0,1.630522811,2.307761,0.055972,64.98558,447.191101,6.251389,7.120032,6.560019,3.790985,5.374885,0.007095,0.199,3.5,944,2.46,18.872406
34,87,43,0,1.790369685,0.000117,4757.914062,34335.46094,0.006714,10.000022,10.00001,9.999972,-0.000469,-0.000498,-0.0004,0.21,0,0,0,-0.001246
35,88,43,0,1.750223996,0.000993,0.281028,49.340858,716.116333,4.152102,5.68768,5.591711,0.001719,0.001596,0.0019,445.256012,8.5,0,0,0.007016
36,89,43,0,0.79443954,2.086667,0.118521,70.566376,371.270233,6.626511,7.141571,5.130229,3.600669,3.569639,0.001788,0.21,3.2,945.150024,3.04,12.495987
37,90,43,0,1.144218692,2.142576,0.218675,99.580116,417.395691,6.684079,7.405285,5.196382,3.743833,2.883715,0.002013,0.215,3.2,945.080017,2.72,9.735327
38,91,43,0,0.709455144,2.577176,0.064555,13.781686,330.24762,5.727548,6.396451,6.108792,4.171456,8.330683,6.411787,0.217,5.4,943.460022,1.56,32.559788
39,92,43,0,1.372231251,2.172273,0.056916,99.921112,442.67804,6.237345,7.087382,5.004205,3.582098,5.078879,0.002043,0.411,3.7,944.27002,2.21,17.915215
40,93,43,0,0.962525929,0.000486,5003.166992,108.221344,0.064037,10.000059,10.000013,9.999978,0.000002,-0.000209,-0.000302,0.094,2,0,0,-0.000522
41,94,43,0,0.882388207,0.000754,3580.697998,110.024887,-90.570442,5.41453,10.000021,10.000019,0.001052,0.000017,-0.000533,0.291,3.4,0,0,0.000042
42,95,43,0,0.556402821,2.382197,0.059071,33.876007,408.147461,6.04654,6.868384,6.360562,3.968823,6.946944,0.009145,0.269,4.2,944.330017,1.91,25.285946
43,96,43,0,0.781009343,0.000009,4316.458008,291851.4063,0.022723,9.99999,10.000025,9.999985,-0.000312,-0.000641,-0.000287,0.226,9.8,0,0,-0.001601
44,97,43,0,1.561438277,0.000066,3629.748779,176582.375,0.025305,9.999995,10.000003,9.999995,-0.000356,-0.000434,-0.00043,0.362,0,0,0,-0.001086
45,104,43,0,0.595018033,0.001479,0.124339,23.832825,485.758606,4.203901,5.04789,5.137444,0.005059,0.006398,0.003082,313.050995,4.3,0,0,0.031688
46,105,43,0,1.064104743,-0.000221,3433.546143,1032516.375,-0.061972,9.999975,9.999963,9.999976,-0.000552,-0.000621,-0.000331,0.189,0.2,0,0,-0.001552
47,106,43,0,1.296331676,0.701301,0.550631,98.098824,348.626862,5.724244,6.431437,6.824643,0.642826,0.046311,0.013942,0.261,2.4,440.700012,555.190002,0.180017
48,108,43,0,1.406875308,1.512556,0.39002,99.54081,389.804382,6.150756,6.773264,4.994115,2.348327,1.303136,0.00141,0.192,3.1,945.619995,1.29,4.809851
49,109,43,0,1.374982897,2.02819,0.139086,99.727478,311.546143,6.730622,7.13064,5.103928,3.517601,2.702164,0.001763,0.192,2.8,946.76001,3.01,9.473776
50,110,43,0,0.94666652,1.732362,0.102961,95.955482,219.998627,6.819016,7.063877,5.000252,3.389589,2.261507,0.001425,0.236,2.8,946.900024,3.21,8.003775
51,111,43,0,1.171594817,2.30571,0.051849,63.722019,463.733917,6.498382,7.361102,6.977924,3.746815,4.349442,0.004927,0.237,3.2,946.349976,2.66,14.771708
52,112,43,0,0.645700273,0.002266,0.064796,54.161346,201.867279,6.27357,6.701306,6.252303,0.009753,0.008071,0.002616,7.598,2.3,0,0,0.030109
53,113,43,0,0.55975187,-0.000058,3875.001953,237895.6875,-0.019108,9.99998,10.000019,10.000008,-0.000542,-0.000199,-0.000278,0.184,9.1,0,0,-0.000498
54,116,43,0,0.166536883,-0.000131,4610.761719,154509.5781,185.231522,4.27147,4.12294,4.712296,-0.00043,-0.000243,-0.000268,0.247,7,0,0,-0.001475
55,120,43,0,0.81840159,2.39202,0.051076,64.4655,444.732391,6.273136,7.132255,6.588961,4.086299,5.972146,0.007271,0.15,3.6,946.419983,2.13,20.93358
56,122,43,0,1.144797387,2.402862,0.063074,46.044518,452.514465,6.18459,7.0769,4.986354,3.919998,6.195193,0.002862,0.184,3.7,946.169983,2.13,21.885267
57,125,44,0,0.708349195,2.576048,0.060193,23.896336,369.78653,5.90397,6.655097,5.077268,4.211899,7.935418,0.005069,0.188,4.3,945.530029,2.15,29.809551
58,122,44,0,1.028580744,2.072666,0.056468,38.559265,423.698212,6.123674,6.966094,6.326087,3.475271,5.978502,0.007894,0.213,3.8,946.059998,2.57,21.455719
59,120,44,0,0.645217894,0.000062,4169.306152,389952.7188,0.012911,10.000001,10.000007,10.000007,-0.00042,-0.00015,-0.001038,0.324,1.4,0,0,-0.000375
60,119,44,0,1.28563971,0.000969,0.213192,54.06636,553.916016,4.43463,5.263791,4.838324,0.003028,0.002975,0.001503,99.040001,3.2,0,0,0.014127
61,118,44,0,0.66217218,1.101444,0.876945,99.76075,106.10569,6.859982,7.233873,5.034164,1.956912,0.018067,0.001189,0.239,2.4,946.27002,1.38,0.06244
62,117,44,0,1.700415422,2.126923,0.060528,99.952477,399.974945,6.419419,7.177218,5.019115,3.793011,4.260822,0.001532,0.231,3.1,946.650024,2.59,14.84148
63,116,44,0,0.364465932,1.113473,0.242018,61.216091,371.944183,6.172183,6.823404,6.180035,1.796855,1.49669,0.005613,0.258,3.2,946.070007,2.19,5.483663
64,115,44,0,1.679646517,0.164964,0.621609,95.970261,259.004578,5.766595,6.285487,5.966891,0.28453,0.044437,0.016841,89.271004,3.1,442.850006,548.119995,0.176745
65,113,44,0,1.005479668,1.441485,0.087567,40.672523,479.691071,7.371546,8.335581,7.965471,2.138552,4.02581,0.009336,8.32,3.7,945.460022,2.54,12.074175
66,112,44,0,0.879629152,0.000156,6425.63623,228085.5625,142.840897,0.595517,0.883279,1.431573,-0.000469,-0.000224,-0.000488,1000,6.3,0,0,-0.006328
67,111,44,0,1.212227769,1.412787,0.897696,99.804207,177.123581,6.848852,7.323108,5.228076,2.309866,0.020255,0.000993,0.293,2.6,947.099976,3.12,0.069148
68,110,44,0,1.699656514,-0.000098,4757.914062,1123.439697,105.28508,0.586321,0.798825,1.202825,-0.000297,-0.000675,-0.000366,1000,4.9,0,0,-0.02112
69,109,44,0,0.446339958,1.321669,0.213797,99.427734,354.378326,6.411201,7.016633,6.558433,2.114983,1.184997,0.004515,0.255,3.2,945.640015,2.92,4.222101
70,108,44,0,0.816027903,1.894273,0.055124,19.609922,329.170349,5.800384,6.473151,6.063206,3.050036,5.94014,1.298849,0.247,4.7,944.890015,1.39,22.941456
71,107,44,0,1.015329822,0.000254,6867.092285,58.573185,4637.600098,5.296646,10.000009,10.000006,0.000223,0.000326,0.000223,0.301,5.1,0,0,0.000814
72,106,44,0,0.904817509,1.074094,0.803898,99.864594,219.125336,7.099758,7.699096,5.070633,2.02008,0.013486,0.000782,60.625,2.4,441.559998,504.5,0.043791
73,105,44,0,1.864132285,0.000051,5493.673828,485601.5313,-0.030469,9.999977,9.999991,9.999993,-0.000351,-0.000282,-0.000547,0.238,1.4,0,0,-0.000706
74,104,44,0,1.14943393,0.001122,0.211873,70.641144,844.825623,4.54704,6.089163,5.266335,0.002455,0.002543,0.000699,999.999023,4.2,0,0,0.01044
75,103,44,0,1.598328897,-0.000076,3531.647461,1547548.25,392.29306,0.850044,1.445243,1.769734,-0.000837,-0.000395,-0.00039,1000,8.6,0,0,-0.006837
76,99,44,0,0.777989117,2.140447,0.110672,99.959435,425.406036,6.428058,7.218693,4.995159,3.547802,3.717512,0.001552,0.192,3.4,945.23999,1.57,12.874602
77,98,44,0,1.654440036,2.138087,0.298305,99.759048,337.412567,6.820544,7.447265,5.079058,3.668908,1.291697,0.001616,0.269,2.9,945.869995,2.88,4.336146
78,97,44,0,0.536649953,0.001082,3139.242188,91.638588,3942.63501,5.725141,10.000013,9.999995,0.001954,0.00039,0.000159,0.254,2.7,0,0,0.000974
79,96,44,0,1.006733457,-0.000154,0.066017,5.605426,-0.028404,10.000008,9.999981,9.999994,0.011725,0.011755,0.011686,0.302,2.6,0,0,0.029387
80,95,44,0,0.612041359,-0.127366,0.844108,99.77108,505.27243,7.169649,8.319653,4.995979,0.635615,0.011549,0.00164,0.28,2.6,443.290009,557.080017,0.034703
81,94,44,0,0.644505472,2.144186,0.06769,67.273239,433.800598,6.554407,7.362381,7.064196,3.63447,3.646811,0.004211,0.26,3.1,945.25,2.68,12.383259
82,93,44,0,1.035557758,2.391181,0.053082,35.64127,421.284912,6.072748,6.915833,5.037028,3.958361,6.653316,0.00269,0.243,4.1,944.099976,1.76,24.051031
83,92,44,0,0.671153676,0.015505,0.030378,57.953678,264.627991,5.933148,6.475161,6.047516,0.04069,0.038404,0.013697,0.231,2.9,0,0,0.148274
84,91,44,0,1.316605565,2.507034,0.051403,20.405298,358.051697,5.848619,6.576395,5.192743,4.232328,7.968576,0.00631,0.287,4.7,943.570007,2.06,30.292339
85,90,44,0,0.655059991,2.45331,0.050145,27.814716,401.252594,5.991901,6.798152,4.958963,4.158929,7.3703,0.00319,0.25,4.2,943.820007,1.68,27.104055
86,89,44,0,0.99859074,2.333821,0.061686,99.9235,428.610992,6.224433,7.055579,5.021014,3.895787,5.274361,0.002033,0.236,3.6,944.320007,2.15,18.688618
87,88,44,0,0.47104526,2.477424,0.061166,27.04771,386.944397,5.957984,6.741446,4.993655,4.105635,7.482081,0.003686,0.262,4.3,943.559998,1.86,27.746574
88,87,44,0,0.992000095,2.445106,0.061909,30.04678,407.319611,6.022966,6.847787,5.037298,4.05453,7.183918,0.003362,0.26,4,943.640015,2.53,26.227148
89,86,44,0,0.868075556,2.566188,0.079772,14.430473,339.460724,5.787323,6.482508,5.359964,4.245778,8.525414,0.008032,0.251,5.1,943.25,1.77,32.878529
90,85,44,0,1.210244278,1.963955,0.999097,99.974274,331.31665,6.559665,4.808439,5.085627,3.529344,0.002391,0.00116,0.25,3.3,944.789978,2.98,0.01243
91,84,44,0,1.019099366,2.033207,0.054931,51.557117,398.74585,6.103436,6.897389,5.248177,3.3673,4.752255,0.002474,0.246,3.5,943.539978,1.62,17.224834
92,83,44,0,0.315656884,2.580114,0.061659,14.25663,334.995697,5.742439,6.419065,6.135984,4.210844,8.397636,6.606199,0.24,5.3,942.929993,1.64,32.705845
93,82,44,0,1.080254056,0.000455,4806.964355,100.871857,-146.059799,5.243698,4.920549,5.11898,0.000115,0.000213,-0.000258,0.264,7,0,0,0.001082
94,81,44,0,0.779577991,1.922033,0.997041,99.970047,369.8862,6.579908,5.015202,4.967409,3.360654,0.003009,0.001071,0.231,3.1,944.590027,1.31,0.014999
95,80,44,0,1.536315444,2.294752,0.054484,32.255569,398.093597,6.010389,6.813643,6.342713,3.760618,6.424368,0.009072,0.221,4.2,943.25,2.12,23.571709
96,79,44,0,1.107303566,2.059158,0.084254,99.970634,407.598511,6.448574,7.219472,4.997462,3.682691,4.006646,0.002092,0.257,3.2,944.380005,2.91,13.874444
97,78,44,0,0.929561655,1.850857,0.997121,99.981377,316.497681,6.664197,5.170277,5.031364,3.385949,0.001778,0.001547,0.222,2.8,944.73999,3.13,0.008596
98,77,44,0,0.348817997,2.517108,0.057965,18.065145,355.574371,5.839362,6.562764,5.610046,4.225917,8.108209,0.008463,0.235,4.8,942.75,1.7,30.887173
99,76,44,0,1.014736043,2.345925,0.049652,80.962311,514.849609,6.703599,7.652131,5.226556,4.00183,4.553036,0.002788,0.238,3.3,943.960022,1.55,14.875059
100,75,44,0,1.41993613,-0.00001,0.080944,44.715286,-0.027371,10.00001,9.999974,10.000018,0.003288,0.003141,0.003617,0.251,7.1,0,0,0.007853
101,74,44,0,1.128024932,2.490546,0.058574,24.645994,389.519836,5.990563,6.779634,5.038503,4.157041,7.639441,0.004054,0.335,4.5,942.77002,1.7,28.170547
102,72,44,0,1.027524694,2.552267,0.067513,14.414963,334.378021,5.769285,6.448662,6.122926,4.152724,8.263762,5.820284,0.208,5.1,942.450012,1.64,32.036736
103,71,44,0,1.531470741,0.000874,0.088369,22.005274,0.013427,9.990798,9.999947,10.00002,0.007629,0.007669,0.008125,0.255,2.9,0,0,0.019172
104,70,44,0,1.671929352,2.18178,0.06959,88.204102,419.853394,6.353493,7.141156,6.549002,3.596573,4.042694,0.003735,0.269,3.1,944,2.19,14.152799
105,69,44,0,1.189742648,1.43254,0.280194,99.5158,304.7995,6.016923,6.587656,6.045211,1.679781,0.792342,0.005834,0.223,3.1,942.549988,1.46,3.006919
106,68,44,0,1.247736381,0.000033,4071.20459,282.164856,-0.054742,10,10.000036,10.000008,-0.000273,-0.000199,-0.000572,0.312,8.8,0,0,-0.000498
107,67,44,0,0.509136025,2.00228,0.053365,66.748085,417.998352,6.271224,7.072388,6.455198,3.436604,4.709268,0.004927,0.226,3.4,943.400024,1.66,16.646667
108,66,44,0,0.328873586,0.676752,2.054057,99.63105,262.944427,6.456937,7.075252,7.031719,0.865447,0.014806,0.002764,0.238,2.5,443.829987,1.37,0.052315
109,65,44,0,0.617829141,2.197958,0.057473,99.931778,428.926025,6.310234,7.121012,5.0427,3.994428,5.166846,0.001581,0.249,3.3,943.669983,2.73,18.139439
110,64,44,0,0.683109895,2.433103,0.047591,36.468826,395.528503,6.097003,6.895528,5.11756,4.215739,6.948302,0.003033,0.241,3.9,943.169983,2.59,25.191338
111,63,44,0,1.023028132,2.533855,0.052159,20.60849,362.986694,5.879734,6.620012,5.491432,4.320379,8.070066,0.007345,0.23,4.6,942.419983,1.49,30.476025
112,62,44,0,1.335261847,2.183475,0.05433,99.963264,417.525299,6.419638,7.206511,5.014989,3.741174,4.036258,0.00194,0.233,3.4,943.75,2.7,14.002124
113,61,44,0,1.057289872,2.431853,0.051053,25.866688,359.410431,5.972984,6.703037,5.468988,4.171358,7.445068,0.005545,0.222,4.4,942.849976,2.17,27.767517
114,60,44,0,0.36512429,2.430293,0.053975,36.489079,392.183594,6.095667,6.887647,5.130964,4.154607,6.808106,0.003342,0.202,3.9,942.97998,2.6,24.71129
115,59,44,0,1.872702934,-0.000326,4708.863281,988370.75,0.027887,10.000013,9.999995,10.000016,-0.000537,-0.000577,-0.000469,0.183,8.5,0,0,-0.001442
116,58,44,0,0.363235354,0.004236,0.065672,15.707928,382.471588,4.628834,5.404965,4.979841,0.011907,0.019549,0.004632,0.271,4.5,0,0,0.09042
117,57,44,0,1.395900264,1.84771,0.998945,99.969269,287.420105,6.685954,4.861767,5.067146,3.628716,0.002661,0.001091,0.255,2.8,944.359985,3.18,0.013681
118,56,44,0,0.672999998,2.46607,0.054497,38.021942,431.426575,6.137218,7.004552,6.372234,4.228978,6.959584,0.009287,0.275,4,943.150024,1.89,24.839504
119,55,44,0,0.722835233,0.000044,5591.774902,202.215698,0.016526,10.000016,9.999982,9.999964,-0.000258,-0.000631,-0.000523,0.244,6.3,0,0,-0.001577
120,54,44,0,1.09999803,0.000431,0.144041,43.449329,584.36676,4.930307,5.613558,5.016358,0.003406,0.003534,0.001655,33.178001,2.5,0,0,0.015737
121,53,44,0,0.413542658,2.404191,0.054405,53.381657,417.953949,6.160739,6.989925,6.429864,3.982082,5.869551,0.007198,0.226,3.6,943.289978,2.47,20.992897
122,52,44,0,0.85451656,1.744202,0.269581,99.837852,47.793007,6.893661,7.174749,5.050985,3.130646,1.061267,0.001297,0.211,2.6,944.690002,3.4,3.697924
123,51,44,0,1.234802531,-0.000424,4512.660645,372785,0.055258,9.999989,9.999988,9.999976,-0.000484,-0.000233,-0.000547,0.188,6.4,0,0,-0.000583
124,50,44,0,1.384168797,2.261932,0.046937,99.937561,423.912506,6.245264,7.065585,5.157939,4.009035,5.398787,0.001665,0.273,3.5,943.580017,2.81,19.102407
125,49,44,0,0.844259061,2.748228,0.056935,10.667358,316.120697,5.598282,6.241203,6.202734,4.504064,9.1926,8.940157,0.22,6,942.330017,1.34,36.822227
126,48,44,0,1.1560251,1.418645,0.962841,99.883926,120.972672,7.066926,7.349409,5.02667,3.164976,0.01408,0.001145,0.3,2.5,944.380005,1.36,0.047894
127,47,44,0,1.430174709,-0.000115,5493.673828,748022.5625,0.002066,10.000018,10.000028,10.00002,-0.000547,-0.000415,-0.000616,0.231,0.8,0,0,-0.001037
128,46,44,0,1.358769284,0.005393,15.665697,15.624405,462.648895,4.668451,5.57334,5.548939,0.014467,0.491455,0.006276,0.267,3.3,0,0,2.204492
129,45,44,0,0.994599102,2.18787,0.998448,99.964394,399.020599,6.535132,5.301898,5.112616,3.70679,0.005609,0.001395,0.245,3.1,944.190002,2.49,0.026446
130,44,44,0,1.209211532,0.000054,4022.154053,145.647141,0.012394,9.999999,9.999969,9.999988,-0.000219,-0.000547,-0.000385,0.208,0,0,0,-0.001368
131,43,44,0,1.613122806,0.000116,0.229872,20.865614,-0.016526,10.000007,10.00004,10.00002,0.002013,0.002018,0.002013,0.378,8.3,0,0,0.005045
132,42,44,0,0.616914367,1.938225,0.21842,99.836845,100.108902,6.893419,7.166879,5.237356,3.490295,1.370791,0.001086,0.291,2.6,945,3.34,4.781689
